timestamp,institutionType,institutionName,unitName,location,jobTitle,wardType,dayShiftRatio,eveningShiftRatio,nightShiftRatio,leaderSupport,invasiveDuties,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,workAtmosphere,promotion,recommendIndex,comment
2025-11-15 07:16,地區醫院,溫賀睿和醫院,8B 外科病房,高雄市,N1,外科,1:10,1:10,1:12,部分協助,給藥/CVP/PCA,50-55,合理範圍給,5,8,77,32,12,4,普通,3,
2025-11-15,醫學中心,臺中榮民總醫院,心臟外科病房,台中市,N4,外科,1:9,1:11,1:15,無,給藥/CVP/PCA,50-55,一律給,8,3,125,53,19,4,機會多,3,資深領班受重視
2025-11-15,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,緩和醫療病房,台北市,N2,安寧,1:10,1:13,1:14,無,換藥/PCA,40-45,合理範圍給,7,10,108,45,16,3,難以升遷,2,主管偏心嚴重
2025-11-15,區域醫院,天主教靈醫會醫療財團法人羅東聖母醫院,腸胃內科病房,宜蘭縣,N1,內科,1:10,1:14,1:14,全班協助,產後照護,40-45,合理範圍給,7,9,86,36,13,3,難以升遷,2,主管常 stand-by 不夠
2025-11-15,區域醫院,臺北醫學大學附設醫院,兒科病房,台北市,N0,兒科,1:7,1:13,1:13,部分協助,管路/PCA,55-60,主管判斷,3,1,74,31,11,3,難以升遷,2,
2025-11-14 21:49,區域醫院,國軍桃園總醫院附設民眾診療服務處,12A 內科病房,桃園市,N2,內科,1:10,1:11,1:13,部分協助,給藥/CVP/PCA,55-60,一律不給,3,3,91,38,14,3,難以升遷,2,工時超長
2025-11-14 19:31,區域醫院,新北市立聯合醫院及其板橋院區,緩和醫療病房,新北市,N1,安寧,1:6,1:11,1:14,部分協助,化療,45-50,主管判斷,2,10,81,34,12,4,機會多,3,訓練體系完整
2025-11-14 17:15,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,緩和醫療病房,台北市,N4,安寧,1:6,1:13,1:13,全班協助,產後照護,45-50,合理範圍給,2,13,126,53,19,4,機會多,3,主管管太細
2025-11-14 15:39,地區醫院,永川醫院,7A 內科病房,台南市,N3,內科,1:6,1:14,1:13,部分協助,管路/PCA,50-55,合理範圍給,2,3,88,37,13,3,機會多,3,訓練體系完整
2025-11-14 09:37,區域醫院,衛生福利部臺南醫院,兒科病房,台南市,護理長,兒科,1:8,1:11,1:12,部分協助,給藥/CVP/PCA,55-60,主管判斷,4,13,118,50,18,3,難以升遷,1,主管常 stand-by 不夠
2025-11-14,醫學中心,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,兒科病房,新北市,N3,兒科,1:8,1:12,1:16,無,給藥/管路,45-50,主管判斷,4,9,116,49,17,3,機會多,3,訓練體系完整
2025-11-13 21:53,地區醫院,永川醫院,5A 內科病房,台南市,副護理長,內科,1:6,1:12,1:14,部分協助,給藥/管路,45-50,合理範圍給,6,12,90,38,14,3,難以升遷,2,人力穩定但行政會議多
2025-11-13 15:59,地區醫院,三軍總醫院澎湖分院附設民眾診療服務處,嬰兒室,澎湖縣,副護理長,兒科,1:9,1:12,1:14,部分協助,化療,45-50,合理範圍給,7,11,101,42,15,4,機會多,3,
2025-11-13 13:52,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,6C 內科病房,台北市,N3,內科,1:8,1:12,1:15,部分協助,換藥/PCA,45-50,一律給,1,13,119,50,18,3,機會多,3,主管支持度高
2025-11-13,區域醫院,行天宮醫療志業醫療財團法人恩主公醫院,神經外科病房,新北市,N1,外科,1:7,1:10,1:14,全班協助,給藥/管路,50-55,一律給,2,4,79,33,12,4,機會多,3,
2025-11-13,醫學中心,國立台灣大學醫學院附設醫院,產後病房,台北市,護理長,婦產,1:10,1:14,1:14,全班協助,管路/PCA,40-45,主管判斷,5,12,127,53,19,4,普通,3,薪資與制度都優
2025-11-13,醫學中心,佛教慈濟醫療財團法人台北慈濟醫院,產後病房,新北市,N2,婦產,1:8,1:11,1:13,部分協助,給藥/管路,45-50,合理範圍給,4,6,111,47,17,4,機會多,3,人力穩定但行政會議多
2025-11-13,地區醫院,台新醫院,腎臟內科病房,台中市,N0,內科,1:8,1:13,1:15,無,換藥/PCA,55-60,一律不給,8,6,70,29,11,3,普通,2,被當打雜
2025-11-12 13:10,區域醫院,高雄市立大同醫院,6C 內科病房,高雄市,專科護理師,內科,1:8,1:13,1:16,部分協助,換藥/PCA,45-50,一律給,8,2,106,45,16,4,普通,3,團隊互助強
2025-11-12 11:55,地區醫院,國泰醫療財團法人新竹國泰綜合醫院,腸胃內科病房,新竹市,N2,內科,1:8,1:14,1:13,無,給藥/CVP/PCA,40-45,合理範圍給,8,11,67,28,10,3,普通,2,人力極端不足
2025-11-12,區域醫院,臺南市立安南醫院-委託中國醫藥大學興建經營,10B 內科病房,台南市,護理長,內科,1:7,1:12,1:14,部分協助,所有侵入性,45-50,一律給,6,5,117,49,18,3,普通,3,專科氣氛 OK
2025-11-12,診所,KK 診所,心智科病房,屏東縣,副護理長,精神,1:9,1:10,1:16,部分協助,管路/PCA,40-45,一律給,1,5,89,37,13,4,機會多,3,同事關係好
2025-11-11 18:32,醫學中心,國立臺灣大學醫學院附設醫院兒童醫院,8B 外科病房,台北市,N3,外科,1:10,1:10,1:14,部分協助,給藥,55-60,主管判斷,3,3,116,49,17,2,難以升遷,1,夜班暴力事件多
2025-11-11 16:04,醫學中心,奇美醫療財團法人奇美醫院及其樹林院區,一般病房,台南市,副護理長,混合,1:9,1:13,1:16,無,給藥/管路,45-50,一律給,4,13,127,53,19,3,普通,3,排班相對人性化
2025-11-11 08:52,醫學中心,臺中榮民總醫院,安寧病房,台中市,N2,安寧,1:10,1:12,1:12,全班協助,化療,50-55,主管判斷,8,7,109,46,16,4,普通,3,薪資與制度都優
2025-11-11 07:47,地區醫院,新太平澄清醫院,婦產科病房,台中市,N2,婦產,1:8,1:12,1:16,部分協助,產後照護,55-60,一律不給,5,4,82,34,12,3,普通,2,新人訓練紮實
2025-11-11,醫學中心,佛教慈濟醫療財團法人花蓮慈濟醫院,8B 外科病房,花蓮縣,N1,外科,1:9,1:14,1:12,部分協助,給藥/CVP/PCA,50-55,合理範圍給,2,13,93,39,14,4,機會多,3,氣氛輕鬆
2025-11-11,區域醫院,衛生福利部彰化醫院,腎臟內科病房,彰化縣,N3,內科,1:6,1:14,1:15,部分協助,化療,50-55,一律給,1,12,100,42,15,3,機會多,3,可學到很多技術
2025-11-11,地區醫院,永和醫院,5A 內科病房,台南市,N4,內科,1:7,1:14,1:14,無,所有侵入性,50-55,一律給,1,11,93,39,14,3,機會多,3,資深領班受重視
2025-11-11,區域醫院,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,兒科病房,新竹縣,護理長,兒科,1:7,1:13,1:15,部分協助,給藥/換藥/抽痰,50-55,主管判斷,2,11,115,48,17,3,機會多,3,薪資與制度都優
2025-11-11,地區醫院,員榮醫療社團法人員榮醫院及其員生院區,緩和醫療病房,彰化縣,副護理長,安寧,1:9,1:13,1:13,部分協助,給藥/換藥/抽痰,55-60,主管判斷,2,10,96,40,14,3,普通,2,新人零保護
2025-11-11,醫學中心,中國醫藥大學附設醫院,兒科病房,台中市,N1,兒科,1:9,1:10,1:16,部分協助,產後照護,40-45,主管判斷,8,10,92,39,14,3,機會多,3,可學到很多技術
2025-11-11,區域醫院,臺北市立聯合醫院仁愛院區,7A 內科病房,台北市,N2,內科,1:6,1:11,1:14,部分協助,給藥/CVP/PCA,50-55,主管判斷,5,6,90,38,14,4,普通,3,訓練體系完整
2025-11-11,區域醫院,新北市立土城醫院(委託長庚醫療財團法人興建經營),腎臟內科病房,新北市,N0,內科,1:6,1:10,1:16,部分協助,所有侵入性,45-50,合理範圍給,1,1,88,37,13,4,機會多,3,資深領班受重視
2025-11-11,區域醫院,國立臺灣大學醫學院附設醫院癌醫中心分院,骨科病房,台北市,N1,外科,1:8,1:10,1:14,部分協助,給藥/CVP/PCA,45-50,合理範圍給,1,10,80,34,12,4,普通,3,
2025-11-11,地區醫院,新興醫療社團法人新興醫院,心智科病房,台南市,N3,精神,1:9,1:12,1:14,全班協助,換藥/PCA,50-55,合理範圍給,3,3,82,34,12,4,機會多,3,同事關係好
2025-11-10 23:03,診所,NN 診所,產後病房,新竹市,N4,婦產,1:7,1:14,1:14,部分協助,給藥/CVP/PCA,45-50,一律給,7,13,90,38,14,4,機會多,3,排班相對人性化
2025-11-10 19:42,區域醫院,衛生福利部臺南醫院,11A 外科病房,台南市,護理長,外科,1:8,1:13,1:14,部分協助,產後照護,40-45,合理範圍給,5,4,115,48,17,3,普通,3,人力穩定但行政會議多
2025-11-10,醫學中心,彰化基督教醫療財團法人彰化基督教醫院,腎臟內科病房,彰化縣,N1,內科,1:10,1:12,1:13,部分協助,給藥/管路,50-55,合理範圍給,6,4,106,45,16,4,普通,3,同事關係好
2025-11-10,區域醫院,秀傳醫療財團法人彰濱秀傳紀念醫院,8B 外科病房,彰化縣,N1,外科,1:7,1:12,1:16,無,所有侵入性,55-60,主管判斷,4,11,80,34,12,3,難以升遷,1,人力過勞且無加班費
2025-11-10,區域醫院,衛生福利部桃園醫院,12A 內科病房,桃園市,護理長,內科,1:7,1:11,1:15,全班協助,管路/PCA,40-45,合理範圍給,3,10,121,51,18,4,機會多,3,訓練體系完整
