timestamp,institutionType,institutionName,unitName,location,jobTitle,clinicSpecialty,clinicPayerType,clinicScale,clinicDuties,clinicShift,dailyPatients,lunchBreak,laborInsurance,holidayCompliance,annualLeave,patientComplaints,violenceRisk,salaryStructure,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,specialBenefits,workAtmosphere,promotion,recommendIndex,comment
2025-11-15 12:13,診所,立安洗腎診所,洗腎診所,新北市,櫃檯護理師,洗腎診所,健保特約為主,4 人以上,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,早＋午診,60–100,有，但常被中斷／縮短,有，足額投保,部分,幾乎無,經常,中,月薪＋看診量／獎金,45-50,一律給,1,12,62,26,9,員工旅遊補助,3,機會多,3,
2025-11-14 17:34,診所,光華眼科診所,眼科,台南市,護理長,眼科,健保特約為主,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,含夜診,100–150,有，完整 1 小時,無,依法給,依法給足,偶爾,無,月薪＋看診量／獎金,45-50,主管判斷,7,13,104,44,16,年節獎金,3,難以升遷,2,加班頻率可接受
2025-11-14 17:09,診所,光華健檢中心,健檢,台東縣,護理長,健檢,兩者皆有,2–3 人,批價／掛號／櫃檯、給藥／藥品調劑協助,含夜診,100–150,有，完整 1 小時,無,依法給,幾乎無,罕見,無,月薪＋看診量／獎金,40-45,合理範圍給,6,9,101,42,15,,3,難以升遷,2,工時長到爆
2025-11-14,診所,立安身心診所,身心科,嘉義縣,跟診護理師,身心科,健保特約為主,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,週末門診輪值,30–60,無,有，足額投保,部分,打折,幾乎沒有,低,固定月薪,35-40,一律給,3,7,58,24,9,彈性工時,3,普通,3,可學到很多技術
2025-11-14,診所,安欣內科診所,家醫／一般內科,彰化縣,櫃檯護理師,家醫／一般內科,兩者皆有,2–3 人,跟診協助、批價／掛號／櫃檯,早＋午＋晚診,30–60,有，完整 1 小時,有，足額投保,依法給,依法給足,經常,無,月薪＋看診量／獎金,45-50,一律給,3,2,65,27,10,員工旅遊補助,4,機會多,3,人力穩定但行政會議多
2025-11-13,診所,杏一皮膚科診所,皮膚科,新北市,跟診護理師,皮膚科,健保特約為主,2–3 人,跟診協助、批價／掛號／櫃檯,週末門診輪值,60–100,有，完整 1 小時,無,部分,依法給足,偶爾,中,固定月薪,45-50,主管判斷,3,3,63,26,9,,3,難以升遷,2,工時長到爆
2025-11-13,診所,杏一內科診所,家醫／一般內科,彰化縣,跟診護理師,家醫／一般內科,健保特約為主,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,含夜診,60–100,有，但常被中斷／縮短,有，足額投保,無／不清楚,打折,罕見,低,固定月薪,40-45,合理範圍給,2,1,67,28,10,,4,機會多,3,主管支持度高
2025-11-12 10:00,診所,宏恩牙醫診所,牙科,新北市,護理師,牙科,兩者皆有,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,早＋午＋晚診,30–60,有，完整 1 小時,有，足額投保,無／不清楚,幾乎無,經常,低,固定月薪,35-40,合理範圍給,7,13,71,30,11,彈性工時,3,機會多,3,門診作息穩定
2025-11-12,診所,德安婦產科診所,婦產科,新竹縣,跟診護理師,婦產科,健保特約為主,4 人以上,跟診協助、注射／抽血、衛教,早＋午＋晚診,100–150,無,有，但以多報少,依法給,依法給足,經常,低,月薪＋看診量／獎金,40-45,合理範圍給,3,2,59,25,9,年節獎金,3,普通,2,主管常 stand-by 不夠
2025-11-11,診所,立安眼科診所,眼科,桃園市,跟診護理師,眼科,健保特約為主,4 人以上,跟診協助、批價／掛號／櫃檯,早＋午診,30–60,無,有，但以多報少,依法給,幾乎無,偶爾,低,時薪,35-40,主管判斷,5,3,73,31,11,,3,機會多,3,案件多但學得快
2025-11-10 08:21,診所,家和中醫診所,中醫,桃園市,櫃檯護理師,中醫,健保特約為主,2–3 人,跟診協助、注射／抽血、衛教,早＋午＋晚診,60–100,有，但常被中斷／縮短,有，足額投保,部分,依法給足,經常,無,固定月薪,40-45,合理範圍給,2,8,58,24,9,員工旅遊補助,4,機會多,3,可學到很多技術
2025-11-09,診所,杏一中醫診所,中醫,雲林縣,櫃檯護理師,中醫,健保特約為主,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,早＋午＋晚診,60–100,有，完整 1 小時,有，足額投保,依法給,依法給足,偶爾,中,固定月薪,40-45,主管判斷,5,6,61,26,9,年節獎金,3,難以升遷,2,主管偏心嚴重
2025-11-09,診所,欣民診所,泌尿／腸胃,彰化縣,護理師,泌尿／腸胃,健保特約為主,2–3 人,跟診協助、注射／抽血、衛教,純早診,100–150,有，完整 1 小時,有，足額投保,依法給,幾乎無,罕見,無,月薪＋看診量／獎金,35-40,合理範圍給,8,1,60,25,9,,3,機會多,3,門診作息穩定
2025-11-08 14:38,診所,光華醫美診所,醫美,新竹縣,護理長,醫美,自費為主（如醫美）,只有我一人,醫美療程協助、衛教、進貨／庫存／藥械管理,純早診,150 以上,有，但常被中斷／縮短,有，足額投保,無／不清楚,打折,經常,中,月薪＋看診量／獎金,45-50,合理範圍給,4,7,108,45,16,彈性工時,4,普通,3,工時長但待遇可
2025-11-07 13:15,診所,康聯骨科復健診所,骨科／復健,台南市,跟診護理師,骨科／復健,健保特約為主,2–3 人,跟診協助、注射／抽血、衛教,純早診,60–100,有，但常被中斷／縮短,有，足額投保,部分,依法給足,罕見,低,固定月薪,45-50,合理範圍給,2,7,69,29,10,年節獎金,3,難以升遷,2,主管管太細
2025-11-07 10:29,診所,明德診所,其他,南投縣,櫃檯護理師,其他,兩者皆有,4 人以上,批價／掛號／櫃檯、給藥／藥品調劑協助,週末門診輪值,100–150,有，但常被中斷／縮短,有，但以多報少,無／不清楚,依法給足,幾乎沒有,低,固定月薪,40-45,合理範圍給,1,1,73,31,11,彈性工時,3,機會多,3,
2025-11-07,診所,杏一小兒科診所,小兒科,台北市,護理師,小兒科,兩者皆有,只有我一人,跟診協助、注射／抽血、衛教,週末門診輪值,60–100,有，但常被中斷／縮短,有，足額投保,依法給,打折,偶爾,中,時薪,40-45,合理範圍給,8,10,61,26,9,三節禮金,3,難以升遷,2,工時長但待遇可
2025-11-04,診所,光華診所,泌尿／腸胃,嘉義市,護理長,泌尿／腸胃,健保特約為主,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,含夜診,150 以上,無,無,依法給,幾乎無,幾乎沒有,中,月薪＋看診量／獎金,35-40,主管判斷,3,8,108,45,16,,3,難以升遷,2,加班沒給
2025-11-03 23:18,診所,宏恩皮膚科診所,皮膚科,新北市,護理師,皮膚科,健保特約為主,2–3 人,跟診協助、傷口換藥／小手術協助、疫苗接種,週末門診輪值,150 以上,有，完整 1 小時,有，足額投保,依法給,依法給足,幾乎沒有,低,固定月薪,40-45,一律給,2,2,64,27,10,員工旅遊補助,3,難以升遷,2,中部醫院 case 量適中
2025-11-03,診所,杏一診所,泌尿／腸胃,嘉義縣,跟診護理師,泌尿／腸胃,兩者皆有,2–3 人,批價／掛號／櫃檯、給藥／藥品調劑協助,純早診,60–100,有，完整 1 小時,無,依法給,依法給足,經常,低,固定月薪,35-40,合理範圍給,4,3,69,29,10,,3,普通,2,
2025-11-02 23:21,診所,惠民診所,其他,台中市,診所護理師,其他,兩者皆有,2–3 人,批價／掛號／櫃檯、給藥／藥品調劑協助,週末門診輪值,60–100,有，完整 1 小時,有，足額投保,依法給,依法給足,偶爾,中,月薪＋看診量／獎金,45-50,合理範圍給,7,3,67,28,10,年節獎金,4,機會多,3,薪資與制度都優
2025-11-02 21:32,診所,德安診所,其他,苗栗縣,護理師,其他,健保特約為主,4 人以上,跟診協助、健保申報／行政、環境清潔／消毒,純早診,30–60,無,有，足額投保,依法給,打折,罕見,中,時薪,40-45,主管判斷,7,7,70,29,11,,4,機會多,3,訓練體系完整
2025-11-02,診所,康仁診所,泌尿／腸胃,高雄市,護理長,泌尿／腸胃,兩者皆有,只有我一人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,早＋午＋晚診,30–60,有，但常被中斷／縮短,有，足額投保,依法給,依法給足,幾乎沒有,低,月薪＋看診量／獎金,40-45,合理範圍給,1,6,94,39,14,三節禮金,4,機會多,3,氣氛輕鬆
2025-11-02,診所,康聯骨科復健診所,骨科／復健,花蓮縣,診所護理師,骨科／復健,健保特約為主,只有我一人,跟診協助、注射／抽血、衛教,早＋午＋晚診,100–150,有，完整 1 小時,有，足額投保,無／不清楚,幾乎無,經常,低,固定月薪,35-40,主管判斷,8,6,57,24,9,,3,機會多,3,薪資與制度都優
