code,name,city,level,hospitalAccredResult,teachingAccredResult,hospitalAccredYear,teachingAccredYear,hospitalAccredPeriod,teachingAccredPeriod,phone,address
1138020015,埔基醫療財團法人埔里基督教醫院,南投縣,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108,108,109/1/1-115/12/31,109/1/1-115/12/31,049-2912151,南投縣埔里鎮鐵山路1號
0138010027,衛生福利部南投醫院及其中興院區,南投縣,區域醫院,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108,112,109/1/1-115/12/31,113/1/1-118/12/31,049-2231150,南投縣南投市復興路478號
0938030016,佑民醫療社團法人佑民醫院,南投縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,108,-,109/1/1-115/12/31,-,049-2358151,南投縣草屯鎮太平路一段200號
1138010019,彰化基督教醫療財團法人南投基督教醫院,南投縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,049-2225535,南投縣南投市中興路870號
1538031114,惠和醫院,南投縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,113,-,114/1/1-119/12/31,-,049-2321188,南投縣草屯鎮平等街140號
1538030037,曾漢棋綜合醫院,南投縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,108,-,109/1/1-115/12/31,-,049-2314145,南投縣草屯鎮虎山路915號
1538041209,東華醫院,南投縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,114,-,115/1/1-120/12/31,-,049-2658949,南投縣竹山鎮集山路三段272巷16號
0938040012,竹山秀傳醫療社團法人竹山秀傳醫院,南投縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,113,-,114/1/1-119/12/31,-,049-2624266,南投縣竹山鎮集山路二段75號
0638020014,臺中榮民總醫院埔里分院,南投縣,地區醫院,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,112,114,113/1/1-118/12/31,115/1/1-120/12/31,049-2990833；049-；2916041&291,南投縣埔里鎮蜈蚣里榮光路1號
1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫,嘉義市,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,114,112,115/1/1-120/12/31,113/1/1-118/12/31,05-2756000,嘉義市東區短竹里大雅路二段565號、嘉義市東區民權路60號
1122010012,戴德森醫療財團法人嘉義基督教醫院,嘉義市,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,113,113,114/1/1-119/12/31,114/1/1-119/12/31,05-2765041,嘉義市嘉義市東區中庄里忠孝路539號；東區後湖里保建街100號；東區頂庄里忠孝路642
0622020017,臺中榮民總醫院嘉義分院,嘉義市,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,114,112,115/1/1-120/12/31,113/1/1-118/12/31,05-2359630,嘉義市西區劉厝里世賢路二段600號
1522021175,亞人社團法人盧亞人醫院,嘉義市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,108,-,109/1/1-115/12/31,-,05-2248347,嘉義市西區民權路406號
0922020013,仁德醫療社團法人陳仁德醫院,嘉義市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,05-2258279,嘉義市西區林森西路285號
0922020059,安心醫療社團法人安心醫院,嘉義市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,05-2353100,嘉義市西區新民路88號
0922020022,慶昇醫療社團法人慶昇醫院,嘉義市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,113,-,114/1/1-119/12/31,-,05-2229191,嘉義市西區新榮路339、339－1號
0122020517,衛生福利部嘉義醫院,嘉義市,地區醫院,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,114,113,115/1/1-120/12/31,114/1/1-119/12/31,05-2319090,嘉義市西區北港路312號
1522011115,陽明醫院,嘉義市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,05-2284567,嘉義市東區吳鳳北路252號
1140030012,佛教慈濟醫療財團法人大林慈濟醫院,嘉義縣,區域醫院,醫院評鑑合格（區域醫院－準醫學中心）,醫師及醫事人員類教學醫院評鑑合格,113,113,114/1/1-119/12/31,114/1/1-119/12/31,05-2648000,嘉義縣大林鎮平林里民生路2號
1140010510,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,114,114,115/1/1-120/12/31,115/1/1-120/12/31,05-3621000,嘉義縣朴子市仁和里長庚一路6號及嘉朴路西段8號
0640140012,臺中榮民總醫院灣橋分院,嘉義縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,113,-,114/1/1-119/12/31,-,05-2791072,嘉義縣竹崎鄉灣橋村石麻園38號
0140010028,衛生福利部朴子醫院,嘉義縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,05-3790600,嘉義縣朴子市永和里5鄰應菜埔42-50號
0111070010,衛生福利部基隆醫院,基隆市,區域醫院,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,113,112,114/1/1-119/12/31,113/1/1-118/12/31,02-24292525,基隆市信義區信二路268號
1111060015,長庚醫療財團法人基隆長庚紀念醫院及其情人湖院區,基隆市,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,113,113,114/1/1-119/12/31,114/1/1-119/12/31,02-24313131,基隆市安樂區麥金路222號、基隆市安樂區基金一路208巷200號
0511040010,三軍總醫院基隆分院附設民眾診療服務處,基隆市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,02-24231735,基隆市仁愛區孝二路39號2樓
0211070012,基隆市立醫院,基隆市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,113,-,114/1/1-119/12/31,-,02-24652141,基隆市信義區東信路282號
1511010068,新昆明醫院,基隆市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,113,-,114/1/1-119/12/31,-,02-24268106,基隆市中正區中正路30號
1411030013,醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院,基隆市,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,02-24579101,基隆市暖暖區源遠路29號
0434010518,國立陽明交通大學附設醫院及其新民院區,宜蘭縣,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,112,112,113/1/1-118/12/31,113/1/1-118/12/31,03-9325192,宜蘭縣宜蘭市校舍路169號、新民路152號
1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,113,112,114/1/1-119/12/31,113/1/1-118/12/31,03-9544106,宜蘭縣羅東鎮中正南路160號
1134020019,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,114,112,115/1/1-120/12/31,113/1/1-118/12/31,03-9543131,宜蘭縣羅東鎮南昌街81、83號、站前南路61、63號
1134050026,天主教靈醫會醫療財團法人礁溪杏和醫院,宜蘭縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,03-9886996,宜蘭縣礁溪鄉礁溪路四段129號
1134010022,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,宜蘭縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,03-9321888,宜蘭縣宜蘭市中山路二段260號
0634070018,臺北榮民總醫院員山分院,宜蘭縣,地區醫院,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,114,113,115/1/1-120/12/31,114/1/1-119/12/31,03-9222141,宜蘭縣員山鄉榮光路386號
0634030014,臺北榮民總醫院蘇澳分院,宜蘭縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,114,-,115/1/1-120/12/31,-,03-9905106,宜蘭縣蘇澳鎮蘇濱路一段301號
0943010017,寶建醫療社團法人寶建醫院,屏東縣,區域醫院,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,112,112,113/1/1-118/12/31,113/1/1-118/12/31,08-7665995,屏東市中山路119.123號
1143010012,屏基醫療財團法人屏東基督教醫院及其瑞光院區,屏東縣,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108,108,109/1/1-115/12/31,109/1/1-115/12/31,08-7363026,屏東縣屏東市大連路60號、屏東縣屏東市建豐路2巷113號
0643010011,屏東榮民總醫院,屏東縣,區域醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,114,112,115/1/1-120/12/31,113/1/1-118/12/31,08-7557885,屏東縣屏東市崇武里榮總東路1號
0143010011,衛生福利部屏東醫院,屏東縣,區域醫院,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108,113,109/1/1-115/12/31,114/1/1-119/12/31,08-7363011,屏東縣屏東市自由路270號
1343030018,輔英科技大學附設醫院,屏東縣,區域醫院,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,114,114,115/1/1-120/12/31,115/1/1-120/12/31,08-8323146,屏東縣東港鎮中山路5號
0943010035,優生醫療社團法人優生醫院,屏東縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,113,-,114/1/1-119/12/31,-,08-7382222,屏東縣屏東市華山里瑞光路三段103號
0943040015,南門醫療社團法人南門醫院,屏東縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,112,-,113/1/1-118/12/31,-,08-8894568,屏東縣恆春鎮南門路10號
1543010109,國仁醫院,屏東縣,地區醫院,醫院評鑑合格（地區醫院）,非教學醫院,114,-,115/1/1-120/12/31,-,08-7223000,屏東縣屏東市民生東路12-2號
