timestamp,institutionType,institutionName,unitName,location,jobTitle,erLevel,triageRatio,criticalRatio,observationRatio,violenceFreq,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,workAtmosphere,promotion,recommendIndex,comment
2025-11-15 08:16,區域醫院,秀傳醫療財團法人彰濱秀傳紀念醫院,急診中心,彰化縣,N3,中度級,1:25,1:2,1:6,每季,60+,一律不給,5,3,96,40,14,3,普通,1,主管常 stand-by 不夠
2025-11-15,區域醫院,國立臺灣大學醫學院附設醫院雲林分院及其虎尾院區,急診部,雲林縣,N0,中度級,1:30,1:3,1:10,每月,50-55,主管判斷,1,7,73,31,11,4,機會多,3,案件多但學得快
2025-11-15,區域醫院,國泰醫療財團法人汐止國泰綜合醫院,急診中心,新北市,N0,中度級,1:30,1:4,1:6,每週,60+,一律不給,7,6,88,37,13,3,難以升遷,2,
2025-11-15,區域醫院,國軍臺中總醫院附設民眾診療服務處,急診部,台中市,N1,中度級,1:35,1:3,1:8,罕見,55-60,主管判斷,7,10,93,39,14,3,普通,2,主管偏心嚴重
2025-11-15,醫學中心,國泰醫療財團法人國泰綜合醫院,急診室,台北市,N1,重度級,1:35,1:2,1:8,每季,55-60,一律不給,3,12,105,44,16,3,難以升遷,2,主管管太細
2025-11-14 11:25,地區醫院,三軍總醫院澎湖分院附設民眾診療服務處,急診室,澎湖縣,N2,一般級,1:30,1:2,1:8,每週,45-50,主管判斷,5,5,68,29,10,3,機會多,3,
2025-11-14 09:46,區域醫院,台灣基督長老教會新樓醫療財團法人台南新樓醫院,急診醫學部,台南市,副護理長,中度級,1:30,1:2,1:5,每月,50-55,一律給,7,11,108,45,16,4,機會多,3,薪資與制度都優
2025-11-14,醫學中心,奇美醫療財團法人奇美醫院及其樹林院區,急診部,台南市,護理長,重度級,1:30,1:3,1:6,每季,60+,一律不給,7,12,137,58,21,3,難以升遷,2,夜班輪轉公平
2025-11-14,醫學中心,高雄榮民總醫院,急診中心,高雄市,N3,中度級,1:30,1:3,1:8,每月,60+,一律不給,3,13,118,50,18,3,難以升遷,1,主管常 stand-by 不夠
2025-11-14,醫學中心,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,急診部,新竹市,N2,重度級,1:40,1:2,1:8,每季,60+,主管判斷,5,8,103,43,15,3,難以升遷,2,leader 形同虛設
2025-11-13 15:00,區域醫院,臺北市立聯合醫院仁愛院區,急診醫學部,台北市,N3,中度級,1:25,1:3,1:5,每月,55-60,主管判斷,3,5,98,41,15,3,普通,1,人力極端不足
2025-11-13 13:20,醫學中心,中國醫藥大學附設醫院,急診中心,台中市,N3,重度級,1:30,1:2,1:6,每月,50-55,合理範圍給,1,3,111,47,17,3,機會多,3,專科氣氛 OK
2025-11-13,區域醫院,寶建醫療社團法人寶建醫院,急診室,屏東縣,N3,中度級,1:25,1:3,1:6,每月,60+,一律不給,7,11,107,45,16,3,普通,1,夜班暴力事件多
2025-11-13,區域醫院,衛生福利部桃園醫院,急診中心,桃園市,N1,中度級,1:30,1:3,1:6,每月,60+,主管判斷,8,7,81,34,12,3,普通,2,
2025-11-13,區域醫院,振興醫療財團法人振興醫院,急診醫學部,台北市,N1,中度級,1:25,1:2,1:6,每月,60+,主管判斷,1,13,86,36,13,2,難以升遷,1,夜班暴力事件多
2025-11-12 23:42,醫學中心,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,急診部,新北市,N1,重度級,1:30,1:3,1:5,每週,50-55,合理範圍給,3,13,107,45,16,3,難以升遷,2,門診作息穩定
2025-11-12 20:43,醫學中心,三軍總醫院附設民眾診療服務處及其汀州院區,急診室,台北市,N0,中度級,1:30,1:3,1:5,每週,45-50,合理範圍給,7,4,90,38,14,3,機會多,3,
2025-11-12 09:11,區域醫院,衛生福利部桃園醫院,急診中心,桃園市,N1,中度級,1:30,1:3,1:10,每月,50-55,合理範圍給,4,12,77,32,12,4,機會多,3,
2025-11-12,區域醫院,衛生福利部基隆醫院,急診醫學部,基隆市,N4,中度級,1:35,1:2,1:6,每月,45-50,合理範圍給,4,2,118,50,18,4,機會多,3,
2025-11-12,地區醫院,宏恩醫療財團法人宏恩綜合醫院,急診室,台北市,N1,一般級,1:30,1:3,1:5,罕見,45-50,合理範圍給,7,12,74,31,11,3,難以升遷,2,加班沒給
2025-11-12,區域醫院,敏盛綜合醫院,急診中心,桃園市,N4,一般級,1:30,1:4,1:8,每月,45-50,主管判斷,8,8,111,47,17,4,機會多,3,資深領班受重視
2025-11-12,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,急診醫學部,台北市,N1,重度級,1:40,1:2,1:10,每週,50-55,主管判斷,3,10,99,42,15,3,機會多,3,安寧團隊互相 support
2025-11-11 15:16,區域醫院,衛生福利部苗栗醫院,急診室,苗栗縣,護理長,中度級,1:30,1:3,1:6,每週,45-50,合理範圍給,1,8,123,52,18,4,機會多,3,案件多但學得快
2025-11-11,地區醫院,恆基醫療財團法人恆春基督教醫院,急診室,屏東縣,N2,一般級,1:35,1:2,1:8,每週,55-60,一律不給,1,11,80,34,12,3,難以升遷,2,加班沒給
2025-11-11,區域醫院,臺北市立聯合醫院忠孝院區,急診室,台北市,N0,中度級,1:30,1:3,1:5,每月,50-55,合理範圍給,3,11,80,34,12,3,普通,3,
2025-11-11,地區醫院,郭綜合醫院,急診醫學部,台南市,N1,一般級,1:35,1:2,1:8,每月,50-55,主管判斷,8,13,69,29,10,3,難以升遷,2,
2025-11-11,地區醫院,霧峰澄清醫院,急診部,台中市,N0,一般級,1:25,1:4,1:8,罕見,55-60,一律不給,1,2,67,28,10,3,普通,2,專科氣氛 OK
2025-11-11,區域醫院,高雄市立大同醫院,急診室,高雄市,N2,中度級,1:25,1:2,1:10,每季,60+,主管判斷,4,5,89,37,13,3,難以升遷,2,可學到很多技術
2025-11-10 09:56,區域醫院,埔基醫療財團法人埔里基督教醫院,急診醫學部,南投縣,N1,一般級,1:35,1:2,1:8,罕見,45-50,合理範圍給,8,8,90,38,14,3,機會多,3,案件量大但有規矩
2025-11-10 09:46,區域醫院,天主教耕莘醫療財團法人耕莘醫院,急診中心,新北市,N1,一般級,1:30,1:3,1:8,罕見,50-55,合理範圍給,6,9,90,38,14,4,機會多,3,主管管太細
2025-11-10,醫學中心,高雄榮民總醫院,急診中心,高雄市,N1,中度級,1:35,1:3,1:6,每週,45-50,合理範圍給,7,7,100,42,15,4,機會多,3,專科氣氛 OK
2025-11-10,醫學中心,高雄榮民總醫院,急診部,高雄市,N2,重度級,1:35,1:2,1:6,每週,60+,一律不給,8,3,109,46,16,3,普通,2,主管管太細
2025-11-10,醫學中心,國立成功大學醫學院附設醫院,急診室,台南市,N1,重度級,1:40,1:3,1:8,每季,50-55,主管判斷,8,10,106,45,16,3,難以升遷,2,人力過勞且無加班費
2025-11-10,區域醫院,國立臺灣大學醫學院附設醫院雲林分院及其虎尾院區,急診部,雲林縣,N1,中度級,1:25,1:3,1:10,每季,50-55,主管判斷,6,5,91,38,14,4,機會多,3,專科氣氛 OK
2025-11-10,醫學中心,國泰醫療財團法人國泰綜合醫院,急診部,台北市,N3,中度級,1:30,1:3,1:5,每季,50-55,一律給,7,9,115,48,17,3,機會多,3,加班頻率可接受
