timestamp,institutionType,institutionName,unitName,location,jobTitle,orSpecialty,orRole,dailyCases,roomCount,dayShiftRatio,onCallSystem,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,workAtmosphere,promotion,recommendIndex,comment
2025-11-15 14:08,醫學中心,奇美醫療財團法人奇美醫院及其樹林院區,中央手術室,台南市,N2,混合,麻醉護理,12-18,15間,1:2刀台,有，少被 call,45-50,主管判斷,5,1,105,44,16,4,普通,3,中部醫院 case 量適中
2025-11-15 10:19,醫學中心,三軍總醫院附設民眾診療服務處及其汀州院區,門診手術室,台北市,N2,一般外科,混合輪替,30-50,4間,1:1刀台,有，常被 call 回,50-55,合理範圍給,6,9,102,43,15,4,普通,3,資深領班受重視
2025-11-14 11:54,地區醫院,聯新國際醫院桃新分院,門診手術室,桃園市,N1,一般外科,麻醉護理,8-12,4間,1:2刀台,有，少被 call,45-50,合理範圍給,1,9,78,33,12,3,普通,3,門診作息穩定
2025-11-14,區域醫院,臺北市立聯合醫院忠孝院區,中央手術室,台北市,N2,混合,混合輪替,8-12,3間,1:1刀台,有，常被 call 回,55-60,主管判斷,5,10,98,41,15,3,難以升遷,2,工時長到爆
2025-11-14,醫學中心,臺北榮民總醫院,PACU,台北市,N2,混合,恢復室,—,—,1:3病人,無,50-55,合理範圍給,2,5,101,42,15,4,機會多,3,安寧團隊互相 support
2025-11-13 15:17,醫學中心,財團法人私立高雄醫學大學附設中和紀念醫院,綜合手術室,高雄市,N4,混合,麻醉護理,5-8,3間,1:2刀台,有，常被 call 回,50-55,主管判斷,8,9,128,54,19,3,普通,3,主管管太細
2025-11-13,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,中央開刀房,台北市,N2,混合,麻醉護理,12-18,12間,1:1刀台,有，常被 call 回,55-60,一律不給,1,4,112,47,17,3,難以升遷,2,被當打雜
2025-11-12,醫學中心,義大醫療財團法人義大醫院,眼科手術室,高雄市,護理長,眼科,麻醉護理,30-50,8間,1:2刀台,有，少被 call,50-55,主管判斷,4,5,134,56,20,3,機會多,3,兒科氣氛溫暖
2025-11-12,區域醫院,台南市立醫院(委託秀傳醫療社團法人經營),泌尿手術室,台南市,護理長,泌尿,流動護理師,8-12,12間,1:2刀台,有，常被 call 回,50-55,一律給,8,2,115,48,17,4,普通,3,新人訓練紮實
2025-11-10,醫學中心,中國醫藥大學兒童醫院,整形外科手術室,台中市,護理長,整形外科,流動護理師,12-18,15間,1:2刀台,有，常被 call 回,45-50,合理範圍給,7,13,133,56,20,3,機會多,3,案件量大但有規矩
2025-11-09 23:45,區域醫院,長庚醫療財團法人桃園長庚紀念醫院及其長青院區,整形外科手術室,桃園市,N0,整形外科,刷手護理師,5-8,6間,1:2刀台,有，常被 call 回,50-55,一律給,5,8,86,36,13,3,機會多,3,同事關係好
2025-11-09,區域醫院,國立陽明交通大學附設醫院及其新民院區,中央開刀房,宜蘭縣,N1,混合,流動護理師,20-30,3間,1:1刀台,有，少被 call,50-55,一律給,4,1,82,34,12,3,機會多,3,
2025-11-09,地區醫院,彰化基督教醫療財團法人南投基督教醫院,整形外科手術室,南投縣,N3,整形外科,混合輪替,15-25,6間,1:1刀台,有，少被 call,55-60,一律不給,2,12,89,37,13,3,普通,2,人力嚴重不足
2025-11-08 17:23,醫學中心,國泰醫療財團法人汐止國泰綜合醫院,泌尿手術室,新北市,N1,泌尿,刷手護理師,12-18,12間,1:1刀台,有，常被 call 回,55-60,主管判斷,4,13,105,44,16,3,難以升遷,2,加班沒給
2025-11-08,地區醫院,高雄市立民生醫院,泌尿手術室,高雄市,N1,泌尿,麻醉護理,12-18,3間,1:2刀台,有，常被 call 回,45-50,合理範圍給,3,2,76,32,11,3,難以升遷,2,
2025-11-08,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,中央手術室,台北市,護理長,混合,流動護理師,20-30,8間,1:1刀台,有，常被 call 回,45-50,主管判斷,3,10,142,60,21,4,機會多,3,
2025-11-08,區域醫院,敏盛綜合醫院,婦產手術室,桃園市,N0,婦產,混合輪替,30-50,3間,1:1刀台,有，常被 call 回,55-60,一律不給,2,7,86,36,13,3,普通,2,夜班輪轉公平
2025-11-07 16:25,區域醫院,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,恢復室,新竹市,N3,混合,恢復室,—,—,1:3病人,無,50-55,合理範圍給,5,7,102,43,15,4,機會多,3,訓練體系完整
2025-11-07 10:10,區域醫院,澄清綜合醫院中港分院,眼科手術室,台中市,N3,眼科,刷手護理師,15-25,15間,1:1刀台,有，常被 call 回,50-55,合理範圍給,1,1,104,44,16,4,普通,3,兒科氣氛溫暖
2025-11-05 07:54,醫學中心,奇美醫療財團法人奇美醫院及其樹林院區,泌尿手術室,台南市,N2,泌尿,混合輪替,20-30,4間,1:1刀台,無,50-55,主管判斷,3,2,111,47,17,4,機會多,3,
2025-11-04,區域醫院,衛生福利部桃園醫院,中央開刀房,桃園市,N1,混合,麻醉護理,20-30,8間,1:1刀台,有，常被 call 回,50-55,合理範圍給,1,7,87,37,13,3,機會多,3,主管支持度高
2025-11-04,醫學中心,高雄榮民總醫院,眼科手術室,高雄市,N4,眼科,流動護理師,8-12,6間,1:1刀台,有，常被 call 回,45-50,主管判斷,5,1,125,53,19,3,機會多,3,專科很強值得待
